"Population and dwelling counts: Canada and census subdivisions (municipalities) 1"
"Frequency: Occasional"
"Table: 98-10-0002-01"
"Release date: 2022-02-09"
"Geography: Canada, Province or territory, Census division, Census subdivision"
"Universe: All persons, 2021 and 2016 censuses – 100% data"
"Variable List: Population and dwelling counts (13)"

,,"Population and dwelling counts (13)","Population, 2021","Population, 2016","Population percentage change, 2016 to 2021","Total private dwellings, 2021","Total private dwellings, 2016","Total private dwellings percentage change, 2016 to 2021","Private dwellings occupied by usual residents, 2021","Private dwellings occupied by usual residents, 2016","Private dwellings occupied by usual residents percentage change, 2016 to 2021","Land area in square kilometres, 2021","Population density per square kilometre, 2021","National population rank, 2021","Province/territory population rank, 2021"
"Geographic name","Geographic area type abbreviation","Province or territory abbreviation"
"Hiawatha First Nation","IRI","Ont.","341","362","-5.8","210","211","-0.5","157","154","1.9","8.93","38.2","3,378","462"
"North Kawartha","TP","Ont.","2,877","2,479","16.1","3,693","3,552","4.0","1,364","1,114","22.4","746.35","3.9","1,080","280"
"Otonabee-South Monaghan","TP","Ont.","7,087","6,670","6.3","3,050","2,944","3.6","2,732","2,591","5.4","346.15","20.5","579","202"
"Peterborough","CY","Ont.","83,651","81,032","3.2","38,006","36,785","3.3","35,977","34,710","3.7","64.76","1,291.8","72","32"
"Selwyn","TP","Ont.","18,653","17,060","9.3","8,540","8,404","1.6","7,483","6,857","9.1","316.12","59.0","247","93"
"Trent Lakes","MU","Ont.","6,439","5,397","19.3","5,750","5,643","1.9","2,952","2,449","20.5","833.72","7.7","617","210"
"Alfred and Plantagenet","TP","Ont.","9,949","9,680","2.8","4,297","4,218","1.9","4,080","3,959","3.1","391.79","25.4","431","152"
"Casselman","VL","Ont.","3,960","3,548","11.6","1,630","1,480","10.1","1,578","1,435","10.0","5.13","772.2","863","252"
"Champlain","TP","Ont.","8,665","8,706","-0.5","3,964","3,910","1.4","3,750","3,700","1.4","207.02","41.9","480","170"
"Clarence-Rockland","C","Ont.","26,505","24,512","8.1","10,316","9,537","8.2","10,095","9,329","8.2","297.47","89.1","173","67"
"East Hawkesbury","TP","Ont.","3,418","3,296","3.7","1,507","1,482","1.7","1,425","1,372","3.9","235.06","14.5","948","265"
"Hawkesbury","T","Ont.","10,194","10,263","-0.7","5,308","5,231","1.5","5,080","4,956","2.5","10.10","1,009.7","419","147"
"Russell","TP","Ont.","19,598","16,520","18.6","7,335","6,008","22.1","7,226","5,873","23.0","198.78","98.6","233","90"
"The Nation / La Nation","M","Ont.","13,350","12,808","4.2","5,259","4,917","7.0","5,104","4,765","7.1","658.93","20.3","327","119"
"Prince Edward County","CY","Ont.","25,704","24,735","3.9","13,557","12,899","5.1","11,332","10,728","5.6","1,052.61","24.4","178","69"
"Agency 1","IRI","Ont.","0","0","...","0","0","...","0","0","...","0.48","0.0","4,831","555"
"Alberton","TP","Ont.","954","969","-1.5","355","366","-3.0","340","352","-3.4","116.60","8.2","2,173","368"
"Assabaska 4","IRI","Ont.","0","0","...","0","83","-100.0","0","1","-100.0","8.71","0.0","4,831","555"
"Atikokan","T","Ont.","2,642","2,753","-4.0","1,464","1,477","-0.9","1,259","1,305","-3.5","313.64","8.4","1,144","290"
"Big Grassy River 35G","IRI","Ont.","251","235","6.8","88","76","15.8","82","71","15.5","33.73","7.4","3,678","478"
"Big Island Mainland 93","IRI","Ont.","5","10","-50.0","3","2","50.0","2","2","0.0","0.42","11.8","4,760","548"
"Chapple 4","TP","Ont.","763","643","18.7","332","318","4.4","265","231","14.7","558.15","1.4","2,420","383"
"Couchiching 16A","IRI","Ont.","633","810","-21.9","252","268","-6.0","236","262","-9.9","65.47","9.7","2,656","405"
"Dawson","TP","Ont.","399","468","-14.7","274","292","-6.2","190","206","-7.8","343.42","1.2","3,181","446"
"Emo","TP","Ont.","1,204","1,333","-9.7","521","554","-6.0","472","517","-8.7","202.28","6.0","1,889","340"
"Fort Frances","T","Ont.","7,466","7,739","-3.5","3,779","3,758","0.6","3,451","3,449","0.1","25.55","292.2","552","194"
"La Vallee","TP","Ont.","788","938","-16.0","379","395","-4.1","319","363","-12.1","237.12","3.3","2,384","380"
"Lake of the Woods 4","TP","Ont.","308","230","33.9","454","438","3.7","140","109","28.4","746.24","0.4","3,484","468"
"Manitou Rapids 11","IRI","Ont.","300","283","6.0","107","103","3.9","102","96","6.3","22.73","13.2","3,510","469"
"Morley","TP","Ont.","493","481","2.5","235","232","1.3","186","178","4.5","388.38","1.3","2,954","430"
"Neguaguon Lake 25D","IRI","Ont.","118","177","-33.3","56","76","-26.3","34","60","-43.3","62.70","1.9","4,181","522"
"Rainy Lake 17A","IRI","Ont.","234","211","10.9","78","76","2.6","76","68","11.8","14.22","16.5","3,732","484"
"Rainy Lake 17B","IRI","Ont.","5","5","0.0","2","2","0.0","2","2","0.0","9.81","0.5","4,760","548"
"Rainy Lake 18C","IRI","Ont.","125","115","8.7","49","39","25.6","44","36","22.2","17.93","7.0","4,150","518"
"Rainy Lake 26A","IRI","Ont.","158","157","0.6","47","46","2.2","46","43","7.0","24.12","6.6","4,015","502"
"Rainy River","T","Ont.","752","807","-6.8","398","434","-8.3","366","360","1.7","3.12","241.4","2,438","387"
"Rainy River, Unorganized 4","NO","Ont.","1,423","1,380","3.1","1,662","2,046","-18.8","572","591","-3.2","12,163.33","0.1","1,718","331"
"Saug-A-Gaw-Sing 1","IRI","Ont.","136","98","38.8","52","44","18.2","44","40","10.0","0.68","200.9","4,116","513"
"Seine River 23A","IRI","Ont.","270","263","2.7","90","90","0.0","85","88","-3.4","15.72","17.2","3,612","473"
"Sturgeon Falls 23 4","IRI","Ont.","10","5","100.0","2","2","0.0","2","2","0.0","26.43","0.4","4,722","547"
"Admaston/Bromley","TP","Ont.","2,995","2,935","2.0","1,305","1,288","1.3","1,136","1,084","4.8","519.59","5.8","1,050","277"
"Arnprior","T","Ont.","9,629","8,795","9.5","4,458","4,124","8.1","4,308","3,912","10.1","13.04","738.5","442","156"
"Bonnechere Valley","TP","Ont.","3,898","3,674","6.1","2,320","2,317","0.1","1,739","1,619","7.4","588.36","6.6","877","255"
"Brudenell, Lyndoch and Raglan","TP","Ont.","1,552","1,503","3.3","998","963","3.6","694","653","6.3","701.29","2.2","1,635","322"
"Deep River","T","Ont.","4,175","4,109","1.6","1,981","1,957","1.2","1,866","1,823","2.4","50.27","83.0","831","245"
"Greater Madawaska","TP","Ont.","2,864","2,518","13.7","2,251","2,170","3.7","1,343","1,178","14.0","1,018.15","2.8","1,084","281"
"Head, Clara and Maria","TP","Ont.","267","248","7.7","133","110","20.9","116","108","7.4","719.20","0.4","3,621","475"
"Horton","TP","Ont.","3,182","2,887","10.2","1,486","1,385","7.3","1,290","1,173","10.0","158.02","20.1","1,002","270"
"Killaloe, Hagarty and Richards","TP","Ont.","2,410","2,420","-0.4","1,559","1,689","-7.7","1,097","1,063","3.2","391.60","6.2","1,221","299"
"Laurentian Hills","T","Ont.","2,885","2,961","-2.6","1,393","1,387","0.4","1,251","1,253","-0.2","634.31","4.5","1,076","279"
"Laurentian Valley","TP","Ont.","9,450","9,387","0.7","3,877","3,877","0.0","3,715","3,717","-0.1","539.08","17.5","450","159"
"Madawaska Valley","TP","Ont.","3,927","4,123","-4.8","2,541","2,619","-3.0","1,713","1,706","0.4","665.83","5.9","867","253"
"McNab/Braeside","TP","Ont.","7,591","7,178","5.8","3,235","3,125","3.5","3,036","2,884","5.3","255.28","29.7","538","187"
"North Algona Wilberforce","TP","Ont.","3,111","2,915","6.7","1,757","1,752","0.3","1,297","1,243","4.3","369.23","8.4","1,017","274"
"Pembroke","CY","Ont.","14,364","13,882","3.5","6,888","6,685","3.0","6,542","6,198","5.6","14.32","1,002.8","302","112"
"Petawawa","T","Ont.","18,160","17,187","5.7","7,174","6,747","6.3","6,762","6,334","6.8","164.70","110.3","252","96"
"Pikwakanagan (Golden Lake 39)","IRI","Ont.","490","440","11.4","191","214","-10.7","184","181","1.7","7.38","66.4","2,964","431"
"Renfrew","T","Ont.","8,190","8,223","-0.4","4,117","4,035","2.0","3,954","3,875","2.0","12.81","639.3","504","173"
"Whitewater Region","TP","Ont.","7,225","7,009","3.1","3,470","3,416","1.6","2,909","2,775","4.8","535.48","13.5","572","199"
"Adjala-Tosorontio","TP","Ont.","10,989","10,975","0.1","3,995","3,974","0.5","3,836","3,834","0.1","371.53","29.6","398","141"
"Barrie","CY","Ont.","147,829","141,434","4.5","57,276","54,227","5.6","55,316","52,476","5.4","99.01","1,493.1","35","16"
"Bradford West Gwillimbury","T","Ont.","42,880","35,325","21.4","13,907","11,918","16.7","13,415","11,591","15.7","200.68","213.7","121","51"
"Chippewas of Rama First Nation","IRI","Ont.","998","878","13.7","408","381","7.1","377","352","7.1","11.15","89.5","2,110","357"
"Christian Island 30","IRI","Ont.","679","614","10.6","524","457","14.7","221","217","1.8","51.91","13.1","2,563","398"
"Christian Island 30A","IRI","Ont.","30","42","-28.6","14","14","0.0","13","14","-7.1","0.07","424.3","4,592","540"
"Clearview","TP","Ont.","14,814","14,151","4.7","6,296","6,040","4.2","5,570","5,335","4.4","556.37","26.6","292","107"
"Collingwood","T","Ont.","24,811","21,793","13.8","13,216","11,617","13.8","11,174","9,556","16.9","33.15","748.3","181","71"
"Essa","TP","Ont.","22,970","21,083","9.0","8,232","7,478","10.1","7,949","7,179","10.7","279.92","82.1","195","77"
"Innisfil","T","Ont.","43,326","36,566","18.5","17,528","14,875","17.8","15,708","13,364","17.5","262.39","165.1","119","50"
"Midland","T","Ont.","17,817","16,864","5.7","8,295","7,739","7.2","7,849","7,374","6.4","35.33","504.3","259","99"
"New Tecumseth","T","Ont.","43,948","34,242","28.3","16,249","13,191","23.2","15,854","12,906","22.8","273.87","160.5","118","49"
"Orillia","CY","Ont.","33,411","31,166","7.2","15,428","14,287","8.0","14,422","13,477","7.0","28.53","1,171.1","144","57"
"Oro-Medonte","TP","Ont.","23,017","21,036","9.4","9,510","9,013","5.5","8,636","7,989","8.1","585.42","39.3","193","76"
"Penetanguishene","T","Ont.","10,077","8,962","12.4","4,357","3,990","9.2","3,976","3,679","8.1","25.42","396.4","426","149"
"Ramara","TP","Ont.","10,377","9,488","9.4","6,166","6,028","2.3","4,408","4,032","9.3","414.94","25.0","417","146"
"Severn 4","TP","Ont.","14,576","13,462","8.3","7,073","6,916","2.3","5,804","5,430","6.9","523.06","27.9","299","111"
"Springwater","TP","Ont.","21,701","19,059","13.9","7,845","7,234","8.4","7,516","6,694","12.3","535.85","40.5","206","80"
"Tay 4","TP","Ont.","11,091","10,033","10.5","5,301","4,929","7.5","4,535","4,127","9.9","137.86","80.5","392","138"
"Tiny","TP","Ont.","12,966","11,787","10.0","9,699","9,712","-0.1","5,434","4,899","10.9","335.05","38.7","337","123"
"Wasaga Beach","T","Ont.","24,862","20,675","20.3","13,768","12,516","10.0","10,811","9,005","20.1","57.42","433.0","180","70"
"Akwesasne (Part) 59 3 6","IRI","Ont.","..","1,693","..","..","849","..","..","532","..","11.81","..","..",".."
"Cornwall","CY","Ont.","47,845","46,589","2.7","22,214","21,659","2.6","21,386","20,931","2.2","61.50","777.9","109","45"
"North Dundas","TP","Ont.","11,304","11,278","0.2","4,673","4,642","0.7","4,537","4,481","1.2","502.41","22.5","382","135"
"North Glengarry","TP","Ont.","10,144","10,109","0.3","4,714","4,658","1.2","4,422","4,316","2.5","643.40","15.8","422","148"
"North Stormont","TP","Ont.","7,400","6,873","7.7","2,949","2,717","8.5","2,853","2,630","8.5","515.46","14.4","558","195"
"South Dundas 4","MU","Ont.","11,044","10,852","1.8","4,821","4,841","-0.4","4,651","4,565","1.9","521.54","21.2","394","140"
"South Glengarry","TP","Ont.","13,330","13,150","1.4","5,848","5,823","0.4","5,431","5,300","2.5","605.02","22.0","328","120"
"South Stormont","TP","Ont.","13,570","13,110","3.5","5,583","5,277","5.8","5,412","5,151","5.1","447.71","30.3","324","118"
"Baldwin 3","TP","Ont.","579","605","-4.3","326","269","21.2","238","251","-5.2","82.49","7.0","2,752","414"
"Chapleau","TP","Ont.","1,942","1,964","-1.1","973","1,022","-4.8","867","869","-0.2","13.20","147.1","1,409","309"
"Chapleau 74A","IRI","Ont.","17","21","-19.0","13","11","18.2","8","8","0.0","7.61","2.2","4,683","542"
"Chapleau 75","IRI","Ont.","0","0","...","0","0","...","0","0","...","1.17","0.0","4,831","555"
"Chapleau Cree Fox Lake 4","IRI","Ont.","62","47","31.9","34","26","30.8","28","19","47.4","9.25","6.7","4,448","535"
"Duck Lake 76B","IRI","Ont.","154","85","81.2","64","38","68.4","51","33","54.5","1.86","82.9","4,039","506"
"Espanola 3","T","Ont.","5,185","5,048","2.7","2,450","2,377","3.1","2,304","2,215","4.0","81.00","64.0","713","227"
"French River / Rivière des Français","M","Ont.","2,828","2,662","6.2","2,098","2,108","-0.5","1,367","1,220","12.0","717.91","3.9","1,091","282"
"Killarney","MU","Ont.","397","386","2.8","443","388","14.2","193","178","8.4","1,469.40","0.3","3,189","448"
"Markstay-Warren","MU","Ont.","2,708","2,656","2.0","1,199","1,276","-6.0","1,109","1,111","-0.2","505.92","5.4","1,128","287"
"Mattagami 71","IRI","Ont.","210","190","10.5","89","87","2.3","81","73","11.0","46.43","4.5","3,836","491"
"Nairn and Hyman","TP","Ont.","373","342","9.1","215","190","13.2","162","138","17.4","159.18","2.3","3,265","453"
"Point Grondine 3 4","IRI","Ont.","5","0","...","4","0","...","1","0","...","138.55","0.0","4,760","548"
"Sables-Spanish Rivers 3","TP","Ont.","3,237","3,188","1.5","1,718","1,666","3.1","1,386","1,312","5.6","801.04","4.0","991","268"
"St.-Charles","MU","Ont.","1,357","1,269","6.9","788","818","-3.7","621","573","8.4","314.46","4.3","1,769","334"
"Sudbury, Unorganized, North Part 3","NO","Ont.","2,902","2,697","7.6","2,837","2,041","39.0","1,367","1,241","10.2","35,377.17","0.1","1,065","278"
"Whitefish Lake 6","IRI","Ont.","412","386","6.7","202","240","-15.8","132","134","-1.5","170.16","2.4","3,140","442"
"Aroland","S-É","Ont.","178","366","-51.4","58","111","-47.7","57","108","-47.2","3.34","53.3","3,939","498"
"Conmee","TP","Ont.","798","819","-2.6","317","327","-3.1","296","298","-0.7","167.65","4.8","2,374","379"
"Dorion","TP","Ont.","375","316","18.7","176","174","1.1","160","128","25.0","211.25","1.8","3,260","452"
"Fort William 52 4","IRI","Ont.","964","981","-1.7","391","375","4.3","361","343","5.2","58.50","16.5","2,155","366"
"Gillies","TP","Ont.","441","474","-7.0","208","201","3.5","186","185","0.5","92.68","4.8","3,071","438"
"Ginoogaming First Nation","IRI","Ont.","200","210","-4.8","65","64","1.6","62","62","0.0","68.65","2.9","3,866","493"
"Greenstone 4","MU","Ont.","4,309","4,636","-7.1","2,449","2,588","-5.4","1,920","2,038","-5.8","2,727.04","1.6","814","243"
"Gull River 55","IRI","Ont.","110","247","-55.5","90","102","-11.8","60","79","-24.1","39.77","2.8","4,214","523"
"Lac des Mille Lacs 22A1","IRI","Ont.","0","0","...","0","0","...","0","0","...","17.32","0.0","4,831","555"
"Lake Helen 53A","IRI","Ont.","240","293","-18.1","97","107","-9.3","91","105","-13.3","0.86","277.8","3,720","483"
"Lake Nipigon","IRI","Ont.","0","0","...","0","0","...","0","0","...","12.89","0.0","4,831","555"
"Long Lake 58","IRI","Ont.","410","385","6.5","127","112","13.4","123","111","10.8","2.75","149.0","3,151","443"
"Manitouwadge","TP","Ont.","1,974","1,937","1.9","1,059","1,082","-2.1","920","894","2.9","352.17","5.6","1,394","307"
"Marathon","T","Ont.","3,138","3,273","-4.1","1,602","1,643","-2.5","1,412","1,445","-2.3","167.03","18.8","1,007","271"
"Neebing 4","MU","Ont.","2,241","2,055","9.1","1,205","1,164","3.5","942","840","12.1","873.78","2.6","1,284","302"
"Nipigon","TP","Ont.","1,473","1,642","-10.3","747","804","-7.1","663","721","-8.0","107.94","13.6","1,683","327"
"O'Connor","TP","Ont.","689","663","3.9","283","272","4.0","274","262","4.6","108.56","6.3","2,544","396"
"Ojibway Nation of Saugeen (Savant Lake)","IRI","Ont.","88","90","-2.2","37","38","-2.6","28","27","3.7","57.06","1.5","4,314","531"
"Oliver Paipoonge","MU","Ont.","6,035","5,922","1.9","2,390","2,289","4.4","2,323","2,239","3.8","350.51","17.2","646","215"
"Osnaburgh 63A","IRI","Ont.","233","232","0.4","57","49","16.3","48","48","0.0","47.48","4.9","3,735","485"
"Pays Plat 51","IRI","Ont.","100","89","12.4","37","35","5.7","36","34","5.9","2.03","49.3","4,252","527"
"Pic Mobert North","IRI","Ont.","138","197","-29.9","61","66","-7.6","54","62","-12.9","1.67","82.5","4,109","511"
"Pic Mobert South","IRI","Ont.","127","125","1.6","57","53","7.5","48","51","-5.9","0.32","401.6","4,139","516"
"Pic River 50","IRI","Ont.","372","443","-16.0","164","177","-7.3","141","166","-15.1","4.03","92.3","3,272","455"
"Red Rock","TP","Ont.","895","895","0.0","455","444","2.5","407","381","6.8","62.10","14.4","2,251","375"
"Red Rock 53 4","IRI","Ont.","0","5","-100.0","15","8","87.5","0","2","-100.0","2.24","0.0","4,831","555"
"Rocky Bay 1","IRI","Ont.","154","184","-16.3","72","68","5.9","52","64","-18.8","0.26","592.8","4,039","506"
"Sand Point First Nation 4","IRI","Ont.","5","0","...","29","4","625.0","4","0","...","10.71","0.5","4,760","548"
"Schreiber","TP","Ont.","1,039","1,059","-1.9","612","628","-2.5","516","500","3.2","35.81","29.0","2,064","352"
"Shuniah","MU","Ont.","3,247","2,798","16.0","2,088","2,130","-2.0","1,425","1,196","19.1","571.34","5.7","988","267"
"Terrace Bay","TP","Ont.","1,528","1,611","-5.2","793","821","-3.4","713","743","-4.0","151.50","10.1","1,647","323"
"Thunder Bay","CY","Ont.","108,843","107,909","0.9","50,995","50,388","1.2","48,405","47,182","2.6","327.77","332.1","51","25"
"Thunder Bay, Unorganized 4","NO","Ont.","6,221","5,867","6.0","5,671","6,122","-7.4","2,784","2,587","7.6","96,255.92","0.1","630","212"
"Whitesand","IRI","Ont.","297","325","-8.6","103","105","-1.9","90","98","-8.2","2.56","116.2","3,519","471"
"Armstrong","TP","Ont.","1,199","1,166","2.8","523","521","0.4","502","491","2.2","90.16","13.3","1,898","342"
"Brethour 3","TP","Ont.","105","124","-15.3","48","54","-11.1","38","47","-19.1","81.97","1.3","4,229","524"
"Casey","TP","Ont.","341","368","-7.3","140","150","-6.7","127","138","-8.0","80.80","4.2","3,378","462"
"Chamberlain","TP","Ont.","311","332","-6.3","145","165","-12.1","132","145","-9.0","110.81","2.8","3,475","467"
"Charlton and Dack","MU","Ont.","686","686","0.0","280","266","5.3","261","245","6.5","92.74","7.4","2,552","397"
"Cobalt","T","Ont.","989","1,128","-12.3","542","624","-13.1","454","530","-14.3","2.07","478.5","2,121","358"
"Coleman","TP","Ont.","517","595","-13.1","295","338","-12.7","236","255","-7.5","177.95","2.9","2,896","427"
"Englehart","T","Ont.","1,442","1,479","-2.5","720","711","1.3","684","691","-1.0","2.92","494.2","1,702","329"
"Evanturel","TP","Ont.","502","449","11.8","203","201","1.0","193","181","6.6","89.21","5.6","2,938","429"
"Gauthier","TP","Ont.","151","138","9.4","73","79","-7.6","68","62","9.7","87.98","1.7","4,053","509"
"Harley","TP","Ont.","524","551","-4.9","200","216","-7.4","187","209","-10.5","92.34","5.7","2,883","425"
"Harris","TP","Ont.","530","545","-2.8","217","233","-6.9","205","216","-5.1","49.81","10.6","2,870","423"
"Hilliard 3","TP","Ont.","215","207","3.9","93","89","4.5","87","85","2.4","91.27","2.4","3,810","489"
"Hudson","TP","Ont.","530","503","5.4","325","280","16.1","213","205","3.9","90.28","5.9","2,870","423"
"James","TP","Ont.","348","420","-17.1","224","240","-6.7","181","207","-12.6","85.40","4.1","3,355","461"
"Kerns","TP","Ont.","330","358","-7.8","129","133","-3.0","121","129","-6.2","90.66","3.6","3,415","464"
"Kirkland Lake","T","Ont.","7,750","7,981","-2.9","4,353","4,466","-2.5","3,775","3,814","-1.0","261.29","29.7","529","182"
"Larder Lake","TP","Ont.","745","730","2.1","440","466","-5.6","352","351","0.3","227.62","3.3","2,447","389"
"Latchford","T","Ont.","355","313","13.4","206","227","-9.3","169","150","12.7","152.26","2.3","3,328","458"
"Matachewan","TP","Ont.","268","225","19.1","202","166","21.7","134","110","21.8","539.56","0.5","3,618","474"
"Matachewan 72","IRI","Ont.","66","61","8.2","35","29","20.7","29","24","20.8","33.09","2.0","4,423","533"
"McGarry","TP","Ont.","579","609","-4.9","333","345","-3.5","289","294","-1.7","85.62","6.8","2,752","414"
"Temiskaming Shores","CY","Ont.","9,634","9,920","-2.9","4,539","4,673","-2.9","4,263","4,379","-2.6","176.67","54.5","441","155"
"Thornloe","VL","Ont.","92","112","-17.9","53","47","12.8","48","44","9.1","6.59","14.0","4,295","530"
"Timiskaming, Unorganized, East Part","NO","Ont.","5","5","0.0","38","100","-62.0","4","3","33.3","248.55","0.0","4,760","548"
"Timiskaming, Unorganized, West Part","NO","Ont.","3,210","3,257","-1.4","1,934","2,053","-5.8","1,380","1,396","-1.1","10,199.80","0.3","996","269"
